root,path,size_bytes,sha256,architecture,file_format,git_tracked,git_ignored,source,license_status,distribution_decision,sdk_or_image_match,success_evidence
parent_backup,MathModel-Skill-1.0.0/packages/codex/skills/authoritative-data-harvester/agents/openai.yaml,314,851e21ccbbc40a366fe0ba47b104673942b7389bb29a4867a7ebeafc1e58ed2a,not-applicable,yaml,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,MathModel-Skill-1.0.0/packages/codex/skills/context-memory-keeper/agents/openai.yaml,287,88797eed4a3bfba7ec88cad4ee1df3bb0634b317e2d6d60f4986147b8dfbb2aa,not-applicable,yaml,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,MathModel-Skill-1.0.0/packages/codex/skills/data-cleaning-and-visualization/agents/openai.yaml,296,b1bbed79ed6fe12eff0cfad52b95dc43210673f46d195318a44b49d9a3d22dc1,not-applicable,yaml,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,MathModel-Skill-1.0.0/packages/codex/skills/model-code-and-result-generator/agents/openai.yaml,358,b007bf826091a6681854d57559f48bde4ba6f4bca4d85a070cdeeead70b1f651,not-applicable,yaml,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,MathModel-Skill-1.0.0/packages/codex/skills/modeling-paper-rubric-and-model-selector/agents/openai.yaml,299,2bc629c8da211009844cf1afb3359c3d46b2031cebb68fc20b2ef82b2c67d8c0,not-applicable,yaml,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,MathModel-Skill-1.0.0/packages/codex/skills/paper-formal-writer/agents/openai.yaml,397,de211360474f692a2283c6a1c56fdf46c8f54e5e498a6088d6d659c0bd3ff4c3,not-applicable,yaml,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,MathModel-Skill-1.0.0/packages/codex/skills/paper-micro-unit-generator/agents/openai.yaml,287,e4c8fa1eb97e3402c94996fafbb0b93fb41f3a7acc90ec4ae2fd51eeeb358598,not-applicable,yaml,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,MathModel-Skill-1.0.0/packages/codex/skills/paper-workflow-orchestrator/agents/openai.yaml,451,fb9ca34c3127ba1015abc6004c4d907ed0633f9e79dc695f7b8aeac6a10d4ec4,not-applicable,yaml,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,MathModel-Skill-1.0.0/packages/codex/skills/problem-doc-model-selector/agents/openai.yaml,291,90bc6b096816a56219e583178d9fda93bc9a6fbd3ff7308f8cbdb74e0f8f31d3,not-applicable,yaml,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
parent_backup,MathModel-Skill-1.0.0/packages/codex/skills/quality-assurance-auditor/agents/openai.yaml,294,0909c00da44e1a3e8ed31470d6671dfd93c56d944bd4d9d75b2d8dde1fd4fd70,not-applicable,yaml,False,False,vendor/archive/local backup,redistribution not established,DO_NOT_DISTRIBUTE,not established,local discovery only
